subject_name,course_name,absolute_course_url
Computer Science Courses,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Machine Learning,https://www.classcentral.com/course/machine-learning-835
Computer Science Courses,Unlocking Information Security I: From Cryptography to Buffer Overflows,https://www.classcentral.com/course/edx-unlocking-information-security-part-i-16964
Computer Science Courses,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,"Information Systems Auditing, Controls and Assurance",https://www.classcentral.com/course/information-systems-audit-17979
Computer Science Courses,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339
Computer Science Courses,Cryptography I,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Transport Systems: Global Issues and Future Innovations,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374
Computer Science Courses,Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422
Computer Science Courses,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Unlocking Information Security II: An Internet Perspective,https://www.classcentral.com/course/edx-unlocking-information-security-part-ii-16965
Computer Science Courses,Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
Computer Science Courses,Computational Social Science Methods,https://www.classcentral.com/course/computational-social-science-methods-17299
Computer Science Courses,CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science Courses,Principles of Computing (Part 1),https://www.classcentral.com/course/principlescomputing1-1724
Computer Science Courses,Sample-based Learning Methods,https://www.classcentral.com/course/sample-based-learning-methods-14496
Computer Science Courses,Software Security,https://www.classcentral.com/course/software-security-1728
Computer Science Courses,Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
Computer Science Courses,Bitcoin and Cryptocurrency Technologies,https://www.classcentral.com/course/bitcointech-3655
Computer Science Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Computer Science Courses,Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/ml-foundations-4352
Computer Science Courses,Probabilistic Graphical Models 1: Representation,https://www.classcentral.com/course/probabilistic-graphical-models-309
Computer Science Courses,Web Security Fundamentals,https://www.classcentral.com/course/edx-web-security-fundamentals-8726
Computer Science Courses,Introduction to Machine Learning Course,https://www.classcentral.com/course/udacity-introduction-to-machine-learning-course-2996
Computer Science Courses,Automata Theory,https://www.classcentral.com/course/edx-automata-theory-376
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495
Computer Science Courses,Aprendizaje automático y ciencia de datos,https://www.classcentral.com/course/edx-aprendizaje-automatico-y-ciencia-de-datos-12250
Computer Science Courses,The Nature of Code,https://www.classcentral.com/course/kadenze-the-nature-of-code-3777
Computer Science Courses,Computer Science 101,https://www.classcentral.com/course/edx-computer-science-101-2175
Computer Science Courses,Introduction to Cyber Security,https://www.classcentral.com/course/introduction-to-cyber-security-2448
Computer Science Courses,Introducción a la programación en C: Tipos de datos y estructuras,https://www.classcentral.com/course/edx-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras-12156
Computer Science Courses,Introduction to Software Product Management,https://www.classcentral.com/course/introduction-to-software-product-managem-4196
Computer Science Courses,Principles of Computing (Part 2),https://www.classcentral.com/course/principlescomputing2-3198
Computer Science Courses,Cybersecurity Fundamentals,https://www.classcentral.com/course/edx-cybersecurity-fundamentals-7844
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475
Computer Science Courses,Prediction and Control with Function Approximation,https://www.classcentral.com/course/prediction-control-function-approximatio-14499
Computer Science Courses,Algorithmic Thinking (Part 1),https://www.classcentral.com/course/algorithmicthink1-1725
Computer Science Courses,Machine Learning for Data Science and Analytics,https://www.classcentral.com/course/edx-machine-learning-for-data-science-and-analytics-4912
Computer Science Courses,Aplicaciones de la Teoría de Grafos a la Vida Real (I),https://www.classcentral.com/course/edx-aplicaciones-de-la-teoria-de-grafos-a-la-vida-real-i-3639
Computer Science Courses,Design of Computer Programs,https://www.classcentral.com/course/udacity-design-of-computer-programs-323
Computer Science Courses,How to Code: Simple Data,https://www.classcentral.com/course/edx-how-to-code-simple-data-3465
Computer Science Courses,Mathematics for Machine Learning: Multivariate Calculus,https://www.classcentral.com/course/multivariate-calculus-machine-learning-10452
Computer Science Courses,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",https://www.classcentral.com/course/cloud-applications-part1-2738
Computer Science Courses,Cryptography,https://www.classcentral.com/course/cryptography-1730
Computer Science Courses,Convolutional Neural Networks,https://www.classcentral.com/course/convolutional-neural-networks-9057
Computer Science Courses,Internet of Things: How did we get here?,https://www.classcentral.com/course/internet-of-things-history-4276
Engineering Courses,Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986
Engineering Courses,Pronóstico de la generación de energía eólica y solar fotovoltaica,https://www.classcentral.com/course/edx-pronostico-de-la-generacion-de-energia-eolica-y-solar-fotovoltaica-19544
Engineering Courses,Differential Equations for Engineers,https://www.classcentral.com/course/differential-equations-engineers-13258
Engineering Courses,Introduction to Engineering Mechanics,https://www.classcentral.com/course/statics1-564
Engineering Courses,Cartography,https://www.classcentral.com/course/independent-cartography-8812
Engineering Courses,Technical Report Writing for Engineers,https://www.classcentral.com/course/technical-report-writing-for-engineers-9087
Engineering Courses,Vector Calculus for Engineers,https://www.classcentral.com/course/vector-calculus-engineers-17387
Engineering Courses,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.classcentral.com/course/mechanics-1-5031
Engineering Courses,Applications in Engineering Mechanics,https://www.classcentral.com/course/statics2-1148
Engineering Courses,Introduction to Indoor Air Quality,https://www.classcentral.com/course/intro-indoor-air-quality-9706
Engineering Courses,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,https://www.classcentral.com/course/edx-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico-11841
Engineering Courses,Building a Future with Robots,https://www.classcentral.com/course/robotic-future-6721
Engineering Courses,Circuits and Electronics 1: Basic Circuit Analysis,https://www.classcentral.com/course/edx-circuits-and-electronics-1-basic-circuit-analysis-444
Engineering Courses,Introducción a los encofrados y las cimbras en obra civil y edificación,https://www.classcentral.com/course/edx-introduccion-a-los-encofrados-y-las-cimbras-en-obra-civil-y-edificacion-11880
Engineering Courses,Do-It-Yourself  Geo Apps,https://www.classcentral.com/course/independent-do-it-yourself-geo-apps-7986
Engineering Courses,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,https://www.classcentral.com/course/dynamics-7788
Engineering Courses,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,https://www.classcentral.com/course/3dmotion-2064
Art & Design Courses,How to Write Your First Song,https://www.classcentral.com/course/songwriting-3369
Engineering Courses,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,https://www.classcentral.com/course/mechanics2-5385
Engineering Courses,Mechanics of Materials III: Beam Bending,https://www.classcentral.com/course/beam-bending-6184
Engineering Courses,Artificial Intelligence for Robotics,https://www.classcentral.com/course/udacity-artificial-intelligence-for-robotics-319
Engineering Courses,The Art of Structural Engineering: Vaults,https://www.classcentral.com/course/edx-the-art-of-structural-engineering-vaults-12040
Engineering Courses,"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",https://www.classcentral.com/course/edx-principle-of-semiconductor-devices-part-i-semiconductors-pn-junctions-and-bipolar-junction-transistors-11365
Engineering Courses,Embedded Systems - Shape The World: Microcontroller Input/Output,https://www.classcentral.com/course/edx-embedded-systems-shape-the-world-microcontroller-input-output-1484
Engineering Courses,Mastering Statics,https://www.classcentral.com/course/mastering-statics-13737
Engineering Courses,Fundamentos de Mecánica para Ingeniería,https://www.classcentral.com/course/edx-fundamentos-de-mecanica-para-ingenieria-3064
Engineering Courses,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,https://www.classcentral.com/course/edx-introduction-to-aerospace-engineering-astronautics-and-human-spaceflight-3042
Engineering Courses,Autonomous Navigation for Flying Robots,https://www.classcentral.com/course/edx-autonomous-navigation-for-flying-robots-1911
