date,link,text,compensation,type,images,address
2020-11-14 15:55,https://newyork.craigslist.org/lgi/egr/d/brightwaters-estimator-civil-engineer/7231023267.html,ESTIMATOR / CIVIL ENGINEER,Commensurate with experience,full-time,,"
        ,
MAIN FUNCTION – PERFORM PROJECT QTY TAKE OFF’S.,
LOCATION – MAIN OFFICE IN BAY SHORE NY,
PERSONAL TRANSPORTATION REQUIRED - JOB SITE TRAVEL MAY BE REQUIRED,
AND / OR REQUIRED TO ATTEND JOB WALK THROUGHS, MEETINGS IN LONGISLAND OR NYC,
,
PART TIME OR FULL TIME,
• BS in Engineering, Architecture, Construction Management Preferred but not required for this,
• 5 years of experience and knowledge of all phases of construction including:,
• History of estimating civil & utility, highways / bridges, water / wastewater and/or pump stations,
• Proficiency with MS Office products: Word, Excel, PowerPoint,
• HUGE PLUS - - Working knowledge of Estimating/Engineering software: HCSS Heavy Bid, AutoCAD, On Screen Takeoff or similar,
• Ability to read and understand drawings and technical specifications,
• Effective written and verbal communication skills,
• Good attention to detail and the ability to recognize discrepancies,
• Strong math and problem solving skills,
• Ability to meet critical deadlines,
• Good time management skills and organizational skills    "
2020-11-06 15:24,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsman-for-woodworking-shop/7226585635.html,Draftsman for woodworking shop,tbd,full-time,,"
        ,
Busy woodworking shop located in Brooklyn NY (by Queens) is looking for a full in-house draftsman with minimum 5 years of experience in AutoCAD and high-end residential millwork  shop drawings for production.  Please send your resume and if possible, samples of previous work.    "
2020-11-07 23:27,https://newyork.craigslist.org/brk/egr/d/fort-lee-led-lighting-mechanical/7227311586.html,"LED Lighting/Mechanical Engineer, and Prototype Builder",Open to Negotiation,contract,,"
        ,
In search of an expert lighting and mechanical engineer with an eye for product design who can bring our idea to life. The challenge is part mechanical part LED lighting so we are searching for a well rounded and experienced candidate. The Engineer will also assist in the research, development, certification and quality control of the lighting product.,
,
Project files will ONLY be shared upon the signature and submission of an NDA to protect from IP infringement.,
,
Absolute Requirements: ,
+ 10+ Years real agency work,
+ Extensive Portfolio,
+ Senior - Leadership Role Experience,
+ Excellent Communications,
+ Electrical and Mechanical Engineering,
+ Subject Matter Expert + Excellent root cause analysis skills,
+ CAD (Expert),
+ 3D Design (Expert),
+ Prototyping (Mid-Expert),
,
Please submit a short cover letter to be considered for this opportunity. ,
We will review and respond to submissions accordingly.    "
2020-11-04 09:24,https://newyork.craigslist.org/mnh/egr/d/merrick-ubreakifix-customer-service/7225260304.html,uBreakiFix: Customer Service & Electronics Repair Technician,full-time,,,"
        ,
, , , , , , , , , , , , , , , , , ,    "
2020-11-04 10:28,https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineering-consultant/7225294901.html,Engineering Consultant,Compensation is highly competitive based on your qualifications,full-time,,"
        ,
Well established and rapidly growing Engineering/Architecture firm with offices in New York City and Westchester County, NY is currently seeking a Project Engineer with at least 5 years of exterior façade restoration experience.  Candidate should be familiar with FISP - Local Law 11/98 and the repair/renovation of building envelope systems within the New York City metropolitan area.  Experience with Auto-Cad is a definite plus.,
 ,
•	Successful candidates must be highly motivated and organized with strong project management skills and excellent communication skills.  ,
•	A minimum of a bachelor's degree in Engineering, Architecture or a related field is required to consider your application.  ,
•	We offer a very pleasant team-oriented work environment with the option of work from home.  ,
•	We offer excellent benefits including competitive compensation, paid vacation, sick days, 401K, pension plan, profit sharing, bonuses, and career advancement opportunities.  ,
,
Responsibilities would include:,
- Evaluation of existing building façade systems and performing full building inspections.,
- Identify and resolve technical/construction issues to communicate and give direction to contractors.,
- Prepare cost estimates to remedy building deficiencies. ,
- Deliver outstanding customer service through timely responses and proactive solutions. ,
- Proficiency in Word, Excel & Outlook.  ,
,
Please email your resume with a very brief cover letter telling us about yourself and why you are interested in this position.  Please also include a sample of your writing and drafting.  ,
,
We offer a very pleasant working environment. We look forward to hearing from you. ,
,
    "
2020-11-04 20:55,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/7225654263.html,Construction Project Manager,TBD,full-time,,"
        ,
Prepare complete and detailed scopes of work for construction trades.,
,
Perform quantity take-offs with accuracy and completeness.,
Solicit budgets and bids from subcontractors and suppliers in a timely fashion,
Resolves cost discrepancies by collecting and analyzing information.,
Prepares special reports by collecting, analyzing, and summarizing information and trends.,
Monitor project costs and schedule,
Monitor site supers and attend meetings,
,
At least 4 years industry experience minimum,
,
Please email resume with expected salary,
,
Also looking for Estimators and Assistant Project managers/site supers    "
2020-11-04 22:16,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectual-designer-for-mit/7225678239.html,Architectual designer for MIT research group,Negotiable based on experience,employee's choice,,"
        ,
We’re an arts research group at MIT that produces interdisciplinary and multiple projects. We’re working on a few new projects including a series of participatory and community-driven public multimedia artworks. We're looking for a research-based architectural designer to work from concept and design development to fabrication and installation for the aforementioned projects. Please email your resume and portfolio in one PDF named ""FirstName_LastName.pdf"" (no greater than 10 MB) with the subject ""Graphic Designer"". Your portfolio shouldn't include more than 10 projects. Submissions without these requirements will not be considered. Only selected candidates will be contacted.,
    "
2020-11-09 17:47,https://newyork.craigslist.org/fct/egr/d/ocean-city-cad-operator-for-landscape/7228235835.html,CAD operator for Landscape Architect,Will be paid on a per job basis.,contract,,"
        ,
Landscape architect / designer seeks operator skilled in AutoCad and computer illustration programs.,
Individual would be responsible for producing landscape plans, layout plans, construction details and graphic illustrations through the use of AutoCad and computer generated illustration programs. ,
Position is for a sub contract / as needed basis.  Will pay at competitive rates.    "
2020-11-05 10:27,https://newyork.craigslist.org/que/egr/d/long-island-city-experienced-draftsman/7225830289.html,EXPERIENCED DRAFTSMAN NEEDED,DEPENDS ON THE EXPERIENCE,full-time,,"
        ,
High-end General Contacting company located in LIC is looking for an experienced Draftsman. Requirements: authorization to work in USA, knowledge of AUTO-CAD, experience in drafting millwork/woodwork shop drawings a must, computer savvy, detail oriented, reliable with a positive attitude to work. ,
Good pay and steady job for a right candidate, full time position. If you are interested, please send your resume to Thank you.,
,
,
    "
2020-11-06 13:35,https://newyork.craigslist.org/mnh/egr/d/new-york-looking-for-experienced/7226510998.html,LOOKING FOR EXPERIENCED PROJECT MANAGER,TBD,full-time,,"
        ,
Fast paced Midtown Commerical Interiors GC looking for Project Manager with at least 10 years experience. Must be able to multitask and handle multiple projects at the same time. Please email resume along with salary requirements.    "
2020-11-04 12:49,https://newyork.craigslist.org/brk/egr/d/brooklyn-plan-drafter-with-experience/7225389440.html,Plan Drafter with Experience,35K-50K+,full-time,,"
        ,
Looking for an experienced individual to draft and draw  mechanical and Fire Suppression plans using a software. ,
,
Needs to be familiar with plan filing with DOB and DOB Now.,
,
Needs to be very detail oriented and proficient in their work.,
,
    "
2020-11-10 10:30,https://newyork.craigslist.org/brk/egr/d/brooklyn-developer-seeks-consultant-for/7228511703.html,Developer Seeks Consultant For Construction Estimating,Compensation:  Negotiable,contract,,"
        ,
Building Developer Seeks Consultant For Construction Estimating  ,
1. Consulting Position,
2. Compensation:  Negotiable,
3. Major Categories of Non-Union Work Include:,
    a. Restoration of an Unreinforced Masonry Structure,
       -  Structural Reinforcing by Retrofitting Steel,
       -  Creation of a 10,000 sf Roof deck,
       -  Mechanicals (Plumbing, High/Low Voltage Electrical,
       -  High End Office Finishes,
       -  Millwork,
       -  Landscaping,
       -  Elevator.,
    b. Up-From-The-Ground High End Office:,
       -  Concrete Construction,
       -  All Trades    "
2020-11-10 13:13,https://newyork.craigslist.org/brk/egr/d/brooklyn-high-end-residential/7228628977.html,High-end residential construction firm Assistant Project Manager,Salary based on experience,full-time,,"
        ,
-Minimum 1-2 years of experienced preferred, but willing to train recent graduate or individual with relevant work experience,
,
-Basic understanding of construction process, familiarity with NYC construction code, familiarity with DOB, DEP,DOT, LPC regulations & compliance, vendor purchasing, subcontractor insurance processing,
,
-Office suite, Excel (basic formulas and formatting), project management / drawing management software(PlanGrid, Procore, etc.) Gant Charts, ability to read construction drawings,
,
-Positive attitude, self-motivated / directed, detail oriented, strong organization skills, strong communication skills    "
