name,price,stock,color,engine
2020 Toyota Camry SE," $26,983",LU396125,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry LE," $26,439",LU011933,Macadamia,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry SE," $27,553",LU010249,Ash,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry LE," $26,624",LU40G966,Ash,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry Hybrid LE," $28,537",LU018912,Ash,Gas/Electric I-4 2.5 L/152
2020 Toyota Camry LE," $26,479",LU015277,Macadamia,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry LE," $26,406",LU003368,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry SE," $25,803",LU994379,Ash,Regular Unleaded I-4 2.5 L/152
2020 Toyota Prius LE," $25,790",L112GK89,Moonstone,Gas/Electric I-4 1.8 L/110
2020 Toyota Camry LE," $24,707",LU999534,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Prius LE," $25,728",L3105989,Harvest Beige,Gas/Electric I-4 1.8 L/110
2020 Toyota Camry LE," $26,441",LU004259,Macadamia,Regular Unleaded I-4 2.5 L/152
2020 Toyota C-HR LE," $22,406",LR115753,Black,Regular Unleaded I-4 2.0 L/121
2020 Toyota C-HR LE," $22,406",LR115752,Black,Regular Unleaded I-4 2.0 L/121
2020 Toyota Camry LE," $25,914",LU004253,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Highlander Hybrid XLE," $44,402",LS34D132,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Camry SE," $29,110",LU015694,Ash,Regular Unleaded I-4 2.5 L/152
2020 Toyota 4Runner SR5," $41,255",L5831204,Black/Graphite,Regular Unleaded V-6 4.0 L/241
2020 Toyota 4Runner SR5 Premium," $41,520",L5757534,Black/Graphite,Regular Unleaded V-6 4.0 L/241
2020 Toyota Highlander Hybrid XLE," $45,393",LS512760,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota 4Runner TRD Off Road Premium," $43,083",L129EJ84,Black/Graphite,Regular Unleaded V-6 4.0 L/241
2020 Toyota Highlander Hybrid LE," $41,487",LS510162,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Highlander XLE," $40,489",LS027393A,Black,Regular Unleaded V-6 3.5 L/211
2020 Toyota Highlander XLE," $40,921",LS519560,Gray,Regular Unleaded V-6 3.5 L/211
2020 Toyota Camry Hybrid XLE," $34,965",LU541332,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Camry Hybrid XLE," $33,007",LU546073,Macadamia,Gas/Electric I-4 2.5 L/152
2020 Toyota Camry XLE," $32,695",LU018187,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry Hybrid XLE," $34,956",LU543545,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Camry XSE," $29,808",LU510443,Cockpit Red,Regular Unleaded I-4 2.5 L/152
2020 Toyota Camry XSE," $29,368",LU509422,Black,Regular Unleaded I-4 2.5 L/152
2020 Toyota Highlander Hybrid Limited," $48,827",LS012760,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Highlander Hybrid Limited," $48,612",LS18C693,Gray,Gas/Electric I-4 2.5 L/152
2020 Toyota Sequoia Limited," $63,832",LS179958,Sand Beige,Regular Unleaded V-8 5.7 L/346
2020 Toyota Sequoia Platinum," $67,842",LS180534,Redrock/Black,Regular Unleaded V-8 5.7 L/346
2020 Toyota Highlander Hybrid XLE," $45,393",LS513875,Black,Gas/Electric I-4 2.5 L/152
2020 Toyota Sequoia SR5," $56,869",LS179930,Graphite,Regular Unleaded V-8 5.7 L/346
