source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,1325195021339987969,"71,000,000 Legal Votes. The most EVER for a sitting President!",Sat Nov 07 21:54:48 +0000 2020,112219,,614411,False
Twitter for iPhone,1325194709443080192,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!",Sat Nov 07 21:53:34 +0000 2020,92429,,457831,False
Twitter for iPhone,1325099845045071873,"I WON THIS ELECTION, BY A LOT!",Sat Nov 07 15:36:36 +0000 2020,175473,,1051231,False
Twitter for iPhone,1325096422799237120,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ https://t.co/N2KlEOezGi via @BreitbartNews What a total mess this “election” has been!,Sat Nov 07 15:23:00 +0000 2020,68638,,251205,False
Twitter for iPhone,1325090748035985409,"Lawyer’s Press Conference at Four Season’s Landscaping, Philadelphia. Enjoy!",Sat Nov 07 15:00:27 +0000 2020,6191,,25293,False
Twitter for iPhone,1325087011464749056,Big press conference today in Philadelphia at Four Seasons Total Landscaping — 11:30am!,Sat Nov 07 14:45:37 +0000 2020,65850,,404192,False
Twitter for iPhone,1325086590197174272,Four Season’s Landscaping! https://t.co/kZ6xTFOx6M,Sat Nov 07 14:43:56 +0000 2020,493,,1948,False
Twitter for iPhone,1325084492076347396,"Lawyers Press Conference at Four Seasons, Philadelphia. 11:00 A.M.",Sat Nov 07 14:35:36 +0000 2020,6530,,23159,False
Twitter for iPhone,1325067488695099397,People were screaming STOP THE COUNT &amp; WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)! https://t.co/CW1tivI45c,Sat Nov 07 13:28:02 +0000 2020,0,,0,False
Twitter for iPhone,1325065549559291910,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously &amp; crudely not allowed. Tractors blocked doors &amp; windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,Sat Nov 07 13:20:20 +0000 2020,0,25073877,0,False
Twitter for iPhone,1325065546342264834,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...",Sat Nov 07 13:20:19 +0000 2020,0,25073877,0,False
Twitter for iPhone,1325065540390559745,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changing the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands of Votes were illegally not allowed to be OBSERVED...",Sat Nov 07 13:20:18 +0000 2020,0,,0,False
Twitter for iPhone,1324933808022573060,RT @realDonaldTrump: Incredibly stated Jim!,Sat Nov 07 04:36:50 +0000 2020,75949,,0,True
Twitter for iPhone,1324933062174650369,"RT @BuckSexton: Does anyone even try to make an argument why there is a good faith reason to block GOP poll watchers, or are we just suppos…",Sat Nov 07 04:33:52 +0000 2020,20689,,0,True
Twitter for iPhone,1324931722165821440,"RT @jsolomonReports: Detroit city worker blows whistle, claims ballots were ordered backdated. FBI probing. | Just The News
https://t.co/e8…",Sat Nov 07 04:28:33 +0000 2020,37568,,0,True
Twitter for iPhone,1324931605106929664,"RT @jsolomonReports: U.S. adds 638,000 jobs in October, unemployment rate drops to 6.9%, report | Just The News
https://t.co/QZtBD9Ic0l",Sat Nov 07 04:28:05 +0000 2020,12778,,0,True
Twitter for iPhone,1324931200390193152,"RT @paulsperry_: ‘Blindsided’: GOP elections board members in NC resign in protest over irregular absentee ballots

Democrats insisted on l…",Sat Nov 07 04:26:28 +0000 2020,17705,,0,True
Twitter for iPhone,1324931041740664832,RT @paulsperry_: BREAKING: Sources on the ground say Stacey Abrams has been involved in the monitoring of mail-in ballot and absentee ballo…,Sat Nov 07 04:25:51 +0000 2020,23614,,0,True
Twitter for iPhone,1324930925843652608,RT @paulsperry_: BREAKING: Mich Gov Whitmer sent health dept into Detroit TFC Center to evict GOP pollwatchers but not Dem pollwatchers or…,Sat Nov 07 04:25:23 +0000 2020,37713,,0,True
Twitter for iPhone,1324930815474667520,"RT @paulsperry_: Funny how CNN has suddenly stopped its ""COVID-COVID-COVID!"" drumbeat, isn't it? They've even taken down their death toll t…",Sat Nov 07 04:24:57 +0000 2020,22688,,0,True
Twitter for iPhone,1324930659316621312,RT @TomBevanRCP: It doesn't matter if Fox's call of AZ ends up being correct in the end. It was totally unnecessary to call it as early as…,Sat Nov 07 04:24:19 +0000 2020,13872,,0,True
Twitter for iPhone,1324930390969167872,RT @josepheschmitz: True Electoral Count Shows Trump Winning | https://t.co/BxH22yEHhR https://t.co/yMDO2hG1OI via @Newsmax,Sat Nov 07 04:23:15 +0000 2020,17461,,0,True
Twitter for iPhone,1324930010235490304,"RT @paulsperry_: BREAKING: Michigan county misdirected 1,000s of Trump votes to Biden
https://t.co/WKAIDTc6in",Sat Nov 07 04:21:45 +0000 2020,21022,,0,True
Twitter for iPhone,1324929941998350336,"RT @paulsperry_: Valid question Trump's legal team is asking:

How many people who requested and mailed in ballots near or on Election Day…",Sat Nov 07 04:21:28 +0000 2020,20886,,0,True
Twitter for iPhone,1324929821776949248,"RT @paulsperry_: Democrats will have to reconcile a couple other things, as well. To wit:

--If Biden's ground game was so nonexistent due…",Sat Nov 07 04:21:00 +0000 2020,14275,,0,True
Twitter for iPhone,1324928993594896385,"RT @dbongino: These errors only seem to ever happen in one direction. 👇 
https://t.co/tUxxxTbUJd",Sat Nov 07 04:17:42 +0000 2020,0,,0,True
Twitter for iPhone,1324928487807995910,"RT @dbongino: The Polls Were More Wrong in 2020 Than in 2016 👇👇
https://t.co/LpepzKdlp1",Sat Nov 07 04:15:42 +0000 2020,9291,,0,True
Twitter for iPhone,1324927403811024896,RT @Jim_Jordan: First win for election integrity!,Sat Nov 07 04:11:23 +0000 2020,30733,,0,True
Twitter for iPhone,1324927258679767042,Incredibly stated Jim! https://t.co/FNbZ71gsZx,Sat Nov 07 04:10:49 +0000 2020,75949,,316620,False
Twitter for iPhone,1324901123996741634,“We need an explanation as to how these numbers have been running up for the last two or three days.” Matthew Whitaker. @EveningEdit,Sat Nov 07 02:26:58 +0000 2020,64244,,366760,False
Twitter for iPhone,1324855496722026498,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!",Fri Nov 06 23:25:39 +0000 2020,100171,,566374,False
